"#tk0","#tk1","#tk2","#tk3","cpu_usage"
1,0,0,0,66.8349206349206
0,0,1,1,98.0560606060606
0,1,2,0,93.9170731707317
2,1,1,0,99.6636015325671
1,0,2,2,99.7456204379562
3,1,1,1,99.7520859671302
2,2,2,1,99.7660130718954
3,2,1,2,99.8151794871795
2,2,2,3,99.9093264248705
1,3,2,4,99.8810717372515
0,0,0,1,63.2172727272727
1,1,0,0,96.7981900452489
1,1,1,0,97.721287128713
0,1,0,3,99.0125340599455
2,1,0,2,99.763167587477
0,2,2,2,99.4186077643909
0,1,4,2,99.4301178992497
2,3,2,1,99.8078052550232
2,2,4,1,99.6482565379828
1,5,3,1,99.6975812547241
0,1,0,0,74.5030487804878
0,1,0,1,93.4268656716418
1,0,0,2,99.4836575875486
1,0,2,1,99.6425438596491
1,0,3,1,99.5375
0,1,2,3,99.7914027149322
2,4,1,0,99.4598566308243
0,4,2,2,98.1887557603682
1,1,4,3,99.7499130434782
3,1,2,4,99.8681555004136
0,0,1,0,75.0550898203593
1,1,0,0,98.9246376811594
2,1,0,0,99.6481081081081
1,0,1,2,99.6564556962025
0,3,2,0,95.8574935400514
1,2,1,2,99.7082975679542
1,1,3,2,99.8043778801843
3,0,3,2,99.8712815715622
3,2,1,3,99.9386920980927
3,2,2,3,99.8994038748137
0,0,1,0,74.5079754601227
0,0,1,1,95.7514851485149
2,1,0,0,99.5014534883721
2,2,0,0,99.5582089552239
0,1,2,2,99.2787826086957
0,2,2,2,99.4507832898172
3,2,1,1,99.8319565217392
1,1,2,4,99.8228794642857
2,4,1,2,99.9209476309227
3,4,3,0,99.8837123991196
0,1,0,0,75.7158536585366
0,1,0,1,95.3308056872038
0,0,1,2,99.362091503268
3,0,0,1,99.8993185689949
0,2,3,0,96.2376134889751
1,0,1,4,99.7408474576271
2,1,0,4,99.8445224719101
1,5,1,1,99.6972014925373
3,4,2,0,99.9065634218289
2,4,2,2,99.8606506584043
0,1,0,0,74.7591463414634
0,2,0,0,90.4381481481483
1,2,0,0,99.298231827112
1,1,0,2,99.6222222222222
1,2,1,1,99.6241908006814
0,3,0,3,99.4901470588235
1,3,3,0,99.0673805601316
4,0,2,2,99.8183613030602
1,4,0,4,99.8365491651206
2,2,3,3,99.8331109257715
0,1,0,0,75.5950310559006
1,0,0,1,99.3057471264368
1,0,0,2,99.4431297709924
0,2,1,1,96.3808394160583
0,2,1,2,99.6302608695652
1,1,1,3,99.6807874015748
1,3,0,3,99.8180798004987
3,3,0,2,99.8688591983556
0,4,3,2,98.2055555555552
3,2,3,2,99.8572536850272
0,1,0,0,74.9742331288343
1,1,0,0,99.0862559241707
1,1,1,0,97.7312661498709
2,2,0,0,99.8901986754967
1,1,1,2,99.7865724381625
0,0,1,5,99.8460837887067
2,3,0,2,99.8492555831266
1,1,2,4,99.82
2,2,3,2,99.8703533026114
3,2,2,3,99.8771406127258
0,0,0,1,63.1198198198198
1,0,0,1,98.9142857142857
1,1,0,1,99.6605678233439
2,2,0,0,99.6553418803419
1,0,2,2,99.6385869565217
3,0,2,1,99.843857331572
2,2,2,1,99.8427184466019
1,2,3,2,99.2687296416936
1,4,0,4,99.8812260536398
