#tk0,#tk1,#tk2,#tk3,cpu_usage
1,0,0,0,26.66710526
2,0,0,0,94.90021075
1,0,2,0,67.38466258
0,2,2,0,58.48294574
1,1,2,1,80.80681818
1,2,1,2,84.44326923
2,2,2,1,96.82145329
1,3,3,1,89.237
1,4,2,2,91.68881988
1,4,1,4,94.62610294
0,1,0,0,31.70688259
0,0,0,2,38.03648649
0,1,2,0,51.0875
0,4,0,0,56.6237037
2,0,1,2,97.68398058
1,0,2,3,86.17575758
1,3,1,2,87.87446809
2,1,4,1,96.70419314
4,1,2,2,99.38026846
3,4,0,3,99.31653487
0,0,1,0,31.12105263
0,1,1,0,44.08705882
1,0,1,1,63.71984733
1,1,1,1,76.04883721
1,2,1,1,80.35490196
0,3,2,1,69.37142857
2,3,0,2,97.75272008
0,0,4,4,83.59130435
1,1,4,3,92.61837456
3,2,2,3,99.34996353
0,1,0,0,31.0025974
1,1,0,0,50.54485294
1,2,0,0,66.45125
0,1,1,2,59.6872093
2,1,0,2,97.1583908
2,0,2,2,96.29808542
1,2,2,2,87.68211382
3,4,0,1,98.52949002
3,2,1,3,99.3557971
2,1,4,3,98.61670213
0,0,0,1,19.79852941
1,0,1,0,49.18857143
1,1,0,1,67.29448819
1,1,0,2,70.51376812
2,1,2,0,94.47445355
1,1,1,3,87.10773481
0,3,1,3,77.19871795
3,1,2,2,98.93861694
1,4,1,3,93.59501779
3,2,2,3,99.32833212
0,0,1,0,30.82904564
1,1,0,0,51.89708029
0,2,0,1,50.02685714
2,2,0,0,94.58917589
2,1,0,2,97.37294372
0,4,1,1,68.93274021
0,4,1,2,74.21544118
1,1,3,3,91.22480315
2,2,1,4,99.08559919
6,2,0,2,99.87610005
0,0,0,1,19.43714286
1,0,1,0,47.3775641
1,1,0,1,61.38273381
0,2,0,2,59.064
2,1,1,1,95.57227332
0,1,2,3,73.18487805
2,1,4,0,95.83127148
3,1,3,1,98.45271739
2,2,3,2,96.95871711
2,3,2,3,98.6739726
1,0,0,0,26.75810811
0,2,0,0,43.5816092
1,1,0,1,60.04333333
1,0,1,2,72.77037037
0,3,1,1,61.60187266
0,1,3,2,65.97238806
3,2,0,2,98.77112939
2,3,0,3,98.56172481
5,3,0,1,99.48224501
1,1,5,3,94.05974843
0,0,1,0,31.00916667
2,0,0,0,94.89597031
0,1,0,2,46.78197674
1,1,1,1,73.94242424
1,0,3,1,80.96731707
2,1,2,1,96.35197133
1,1,3,2,87.97869565
3,0,2,3,99.26030814
1,0,5,3,93.72313167
4,2,3,1,99.14661458
0,0,1,0,31.16470588
1,1,0,0,51.78382353
1,0,2,0,65.67987421
0,3,1,0,57.8625498
0,1,3,1,63.27178423
1,3,2,0,81.72148148
1,2,2,2,88.02851064
2,0,5,1,97.03875878
3,2,1,3,99.327146
