#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,0,1,35.14651163
0,1,0,1,73.00974026
0,1,1,1,82.40217391
0,1,1,2,94.83959184
2,0,2,1,99.00562293
2,0,1,3,98.99235955
0,2,2,3,97.30753425
1,1,2,4,99.22192623
3,1,2,3,99.79906743
1,3,5,1,97.68720445
0,0,0,1,34.8625
0,0,0,2,62.49303797
1,1,0,1,90.62536585
1,1,1,1,96.39
0,1,1,3,95.20230263
1,0,3,2,98.39312169
2,1,1,3,99.43394124
1,2,2,3,99.20339321
1,3,1,4,99.3150613
1,2,4,3,99.43857791
1,0,0,0,38.46866667
0,1,1,0,71.11280788
1,0,2,0,89.2511811
1,0,2,1,95.82659574
2,1,0,2,99.58804598
1,3,0,2,98.4731383
0,3,2,2,96.80584416
0,4,3,1,96.36202749
3,1,1,4,99.78983957
1,3,1,5,99.5452188
0,0,0,1,35.33809524
1,0,0,1,67.58850575
1,1,0,1,90.59646465
3,0,1,0,99.41210614
1,1,0,3,98.73069307
1,2,2,1,97.13975
3,3,0,1,99.50863905
1,2,2,3,99.20375494
2,3,2,2,99.71828724
3,4,1,2,99.81488095
0,0,0,1,34.96746032
0,1,0,1,73.63525641
1,1,0,1,90.4721393
1,1,0,2,98.20204082
0,3,1,1,92.87172237
1,3,1,1,97.00792079
2,2,1,2,99.328327
3,2,0,3,99.68955857
1,3,3,2,98.77957516
3,2,1,4,99.77969762
1,0,0,0,38.51045752
1,0,0,1,68.0362069
1,1,1,0,88.55333333
1,1,2,0,94.07948718
0,2,2,1,94.55898204
0,0,4,2,96.60440415
2,3,2,0,96.14489465
3,2,1,2,99.71621385
0,3,4,2,97.42128713
3,2,2,3,99.80172757
0,1,0,0,51.07480315
1,0,1,0,76.88381503
1,1,0,1,90.89296482
0,1,1,2,93.0784
3,0,1,1,99.39145963
0,0,4,2,96.16082474
4,0,2,1,99.66405904
1,2,3,2,98.28745174
2,1,2,4,99.73695466
1,2,4,3,99.45931677
0,0,0,1,35.17936508
0,2,0,0,70.97673267
1,1,1,0,88.98828125
0,1,1,2,93.6736
0,2,0,3,95.76872964
2,2,0,2,99.47417476
2,1,2,2,99.26567718
0,3,4,1,96.17342193
1,4,4,0,95.07302053
3,2,2,3,99.78344156
0,0,0,1,35.15748031
1,0,0,1,67.84860335
0,2,0,1,84.3740566
2,0,0,2,99.4425974
2,1,0,2,99.08604651
2,2,1,1,99.05598214
1,0,4,2,98.3222973
0,5,2,1,95.75
4,0,0,5,99.82985843
2,4,2,2,99.72824232
1,0,0,0,38.42105263
2,0,0,0,93.09418484
1,1,1,0,88.91746032
0,1,2,1,88.79236111
1,1,2,1,95.77536657
2,0,2,2,99.18657025
2,0,5,0,95.95343915
3,3,1,1,99.66192026
3,2,2,2,99.7363232
