"#tk0","#tk1","#tk2","#tk3","cpu_usage"
1,0,0,0,46.0117647058824
0,0,1,1,64.3
1,0,2,0,76.5083333333333
1,2,0,1,91.5575757575757
1,1,3,0,82.5857142857143
2,0,0,4,96.3901960784314
4,1,1,1,94.4405405405405
3,1,1,3,97.8297297297297
2,3,2,2,96.255737704918
2,2,3,3,98.4211538461539
0,0,1,0,75.3
1,0,0,1,75.4384615384615
1,1,1,0,72.69375
1,1,0,2,84.4571428571429
1,1,2,1,88.71875
0,2,2,2,87.9672727272727
0,4,3,0,98.9111111111111
2,2,1,3,88.3333333333333
0,3,3,3,95.8661016949153
4,2,1,3,93.1919540229885
0,0,1,0,72.525
0,0,0,2,79.5708333333333
0,1,0,2,88.825
0,3,0,1,87.9934782608696
2,2,1,0,93.0806451612903
0,1,1,4,94.3396825396825
3,2,0,2,92.8240740740741
1,3,2,2,94.1625
5,2,1,1,96.3910447761194
2,1,3,4,98.6727272727273
0,1,0,0,64.0461538461538
1,0,1,0,70.5111111111111
1,1,0,1,86.9103448275862
1,0,0,3,98.6235294117647
3,1,0,1,92.4093023255814
0,1,4,1,87.9791666666667
2,3,1,1,93.5371428571428
3,4,0,1,98.0117647058824
3,2,2,2,96.2685185185185
4,1,2,3,98.2909090909091
1,0,0,0,67.12
0,1,0,1,72.295
0,1,0,2,89.7153846153846
1,2,0,1,90.4032258064516
0,0,2,3,96.1233333333333
3,1,1,1,94.686
1,3,0,3,98.2145833333333
0,3,1,4,98.7931034482759
2,1,5,1,93.8125
3,1,2,4,98.3985074626866
0,0,0,1,65.96
0,0,1,1,64.6692307692308
1,1,1,0,83.0625
1,0,0,3,95.7378378378378
0,2,2,1,88.5592592592593
3,2,1,0,97.2212121212121
2,2,2,1,96.8146341463415
1,4,2,1,94.7404761904762
1,4,1,3,98.4946428571429
5,2,0,3,98.8157142857143
1,0,0,0,58.2
0,2,0,0,76.8571428571429
2,0,0,1,87.6130434782609
0,1,2,1,78.09
1,1,1,2,94.8837837837838
3,0,2,1,92.6642857142857
0,1,3,3,97.2837837837838
3,1,2,2,97.2038461538461
4,3,1,1,95.9290322580645
2,3,2,3,98.8390625
0,1,0,0,69.1714285714286
0,0,0,2,75.7176470588235
1,1,0,1,83.1190476190476
2,0,1,1,89.144
1,1,1,2,96.0078947368421
0,1,3,2,91.5807692307692
2,2,2,1,94.502380952381
4,2,0,2,97.7678571428571
1,2,3,3,96.3428571428572
4,2,3,1,96.7152173913044
0,0,1,0,68.9
0,0,2,0,84.76
1,1,1,0,75.965
1,1,2,0,84.7588235294118
2,0,2,1,93.36
0,2,1,3,97.1447368421053
3,1,1,2,93.6075471698113
1,1,4,2,94.3615384615385
5,0,1,3,98.8027397260274
4,1,4,1,97.564
0,1,0,0,64.3083333333333
0,1,0,1,76.8722222222222
1,2,0,0,90.4058823529412
1,1,1,1,90.9380952380952
0,0,2,3,95.030303030303
2,2,1,1,93.2122448979592
2,1,3,1,93.6611111111111
1,1,5,1,92.4257142857143
2,3,3,1,96.0088888888889
