#tk0,#tk1,#tk2,#tk3,cpu_usage
0,1,0,0,25.4411764705882
0,1,0,1,40.8769230769231
1,1,0,1,58.3754716981132
1,2,0,1,73.7240740740741
1,0,1,3,91.9053571428572
1,3,1,1,81.6354838709677
3,2,1,1,88.2557142857143
1,1,2,4,97.5924050632911
2,3,3,1,84.0384615384616
2,2,2,4,99.1395833333333
0,0,0,1,25.4346153846154
1,0,1,0,30.7205128205128
0,2,1,0,55.4823529411765
1,0,1,2,71.2296296296296
1,1,2,1,64.5072727272727
3,0,2,1,83.2482142857143
1,2,3,1,76.4950819672131
2,2,3,1,82.9666666666667
1,5,1,2,90.73
1,4,2,3,94.4659574468085
0,0,0,1,25.1549019607843
2,0,0,0,49.2923076923077
1,2,0,0,67.7205128205128
0,1,1,2,68.9018518518518
1,0,2,2,72.3678571428571
3,2,1,0,95.8
1,1,2,3,93.8
1,2,5,0,77.784
1,2,2,4,96.4615384615385
2,3,3,2,91.4375
0,1,0,0,24.9342857142857
2,0,0,0,49.4025641025641
0,3,0,0,73.8323529411765
1,0,2,1,51.5634615384615
2,2,1,0,91.5904761904762
1,1,3,1,66.2614035087719
2,0,4,1,70.5677966101695
3,1,2,2,91.5253333333333
3,1,3,2,87.0731707317073
3,2,2,3,94.871875
1,0,0,0,25.2974358974359
1,0,0,1,42.733962264151
0,1,0,2,65.7811320754717
1,1,0,2,82.5981481481482
2,1,2,0,76.7261904761905
2,2,1,1,79.8215384615385
0,4,2,1,76.764705882353
1,2,3,2,88.6231884057971
3,0,3,3,91.6607142857143
2,5,0,3,96.1757009345795
0,0,1,0,25.225
0,0,2,0,50.5777777777778
0,1,1,1,44.8849056603774
1,2,0,1,75.5603773584906
0,0,2,3,78.6589285714286
2,1,2,1,79.6982456140351
2,2,2,1,81.1567164179105
2,3,3,0,92.9589285714286
4,1,1,3,95.1833333333333
2,4,1,3,95.4656862745098
0,1,0,0,25.0117647058823
0,0,2,0,51.0888888888889
0,0,2,1,33.1018518518518
0,0,1,3,79.1169811320755
1,1,1,2,83.4571428571428
2,1,2,1,79.4793103448276
3,0,3,1,79.2596774193548
1,2,2,3,93.0705128205128
2,2,3,2,91.3128205128205
1,4,2,3,95.5139784946237
1,0,0,0,25.1717948717949
1,0,0,1,43.022641509434
3,0,0,0,73.8307692307692
0,1,0,3,90.9622641509434
3,1,0,1,82.7213114754098
3,1,1,1,81.3723076923077
2,2,2,1,80.6507462686567
3,0,5,0,83.8833333333333
1,3,2,3,94.5894117647059
3,3,1,3,95.5696078431373
1,0,0,0,24.6657894736842
1,1,0,0,46.0871794871795
1,1,0,1,58.4370370370371
1,1,0,2,84.3547169811321
3,1,0,1,82.4967741935484
0,0,5,1,41.8241379310345
2,1,3,1,78.2590163934426
2,0,1,5,98.8054945054945
0,3,3,3,91.26
0,3,1,6,97.5875
0,0,0,1,25.0075471698113
1,0,1,0,30.4461538461538
1,1,0,1,59.75
1,2,0,1,74.3833333333333
1,1,0,3,91.6031746031746
0,1,2,3,89.8389830508475
2,1,1,3,94.1133333333333
1,3,2,2,89.8351351351351
2,0,4,3,92.345945945946
