"#tk0","#tk1","#tk2","#tk3","#tk4","#tk5","#tk6","#tk7","cpu_usage"
0,0,0,0,0,0,1,0,32.9666666666667
0,0,1,0,1,0,0,0,51.6968
1,1,1,0,0,0,0,0,57.0661417322834
1,0,0,0,0,0,2,1,54.4096774193548
0,0,2,0,0,1,1,1,57.0476923076923
0,2,0,0,2,0,1,1,97.3757142857143
1,2,1,1,0,0,1,1,97.4812080536913
0,1,2,1,3,0,1,0,98.3869918699187
1,2,1,1,1,1,1,1,97.3433862433862
1,2,0,0,2,1,2,2,98.298717948718
0,0,0,0,0,0,1,0,32.7333333333333
0,0,0,0,1,0,1,0,28.6145161290323
0,0,0,0,1,1,0,1,30.848
1,0,0,1,0,0,1,1,36.6714285714286
1,1,0,0,0,1,1,1,38.6038461538462
0,0,2,2,1,1,0,0,97.0488505747126
0,1,0,1,1,1,2,1,79.2394160583942
0,1,1,1,2,1,1,1,97.4123595505618
0,2,2,0,0,2,1,2,98.4479452054795
2,0,3,1,2,1,0,1,98.3578475336323
1,0,0,0,0,0,0,0,28.3928571428571
1,0,0,1,0,0,0,0,32.292
0,0,0,0,0,0,2,1,77.2727272727273
1,0,0,2,1,0,0,0,80.5541984732824
1,0,1,0,0,1,0,2,38.47421875
0,2,1,2,1,0,0,0,98.6029702970297
1,2,1,0,1,0,2,0,98.026
0,0,1,1,1,3,1,1,79.9085714285714
2,1,1,0,2,1,2,0,98.8955414012739
3,3,2,1,0,0,0,1,99.1627192982456
0,0,0,0,1,0,0,0,26.8360655737705
0,0,1,1,0,0,0,0,51.3450819672131
0,0,0,2,1,0,0,0,75.3690476190476
1,0,0,1,0,2,0,0,36.8349206349206
0,0,1,1,1,1,1,0,78.6786259541985
0,1,0,1,1,2,0,1,78.0244444444444
1,0,1,1,0,1,2,1,63.0911764705882
1,0,2,0,2,3,0,0,98.5527027027027
1,0,1,0,0,2,3,2,44.1577464788733
0,1,4,0,1,1,1,2,97.5140186915888
0,0,0,0,1,0,0,0,26.5737704918033
2,0,0,0,0,0,0,0,52.451724137931
0,0,0,2,0,0,0,1,53.5976
0,1,1,1,0,0,0,1,77.67265625
1,0,0,0,1,2,0,1,38.5286821705427
0,0,0,0,5,0,0,1,94.65
0,1,1,0,0,1,2,2,58.6585185185185
0,2,0,2,1,1,1,1,98.4829545454545
2,1,1,0,1,1,3,0,84.2973333333334
0,1,4,2,0,1,1,1,98.1812
1,0,0,0,0,0,0,0,28.7285714285714
0,1,0,0,0,0,0,1,28.6121951219512
0,1,0,1,0,0,1,0,53.3927419354838
0,1,1,0,1,1,0,0,78.4392
1,1,0,1,2,0,0,0,98.9028571428571
1,0,0,0,2,0,1,2,60.8126865671642
2,0,1,2,0,0,2,0,83.1867132867133
2,1,1,1,2,1,0,0,98.7393617021277
2,0,1,0,3,1,2,0,97.39625
2,2,1,2,2,0,1,0,99.2779069767442
0,0,0,1,0,0,0,0,26.6520325203252
1,0,1,0,0,0,0,0,32.360162601626
0,0,0,0,1,0,0,2,30.7976377952756
0,1,1,0,0,1,1,0,55.3491935483871
0,1,1,0,1,0,2,0,78.46
0,1,1,0,1,0,1,2,78.7593984962406
1,2,2,0,0,0,1,1,98.2664383561644
2,1,1,1,1,1,1,0,99.2902597402597
4,0,0,0,1,3,1,0,53.2243243243243
1,1,2,1,1,0,2,2,98.4412698412698
0,0,0,0,0,1,0,0,33.23
0,1,0,1,0,0,0,0,51.0168
0,0,0,1,0,0,0,2,30.7274193548387
0,0,1,1,1,1,0,0,77.4425196850394
1,0,0,0,2,1,0,1,60.5271317829457
0,1,1,0,2,1,1,0,98.65
0,0,0,3,3,0,1,0,99.6305
0,1,2,1,2,0,0,2,98.1932692307692
2,1,2,1,0,1,1,1,98.1647798742138
0,1,3,1,1,2,0,2,98.6481132075472
0,0,0,0,1,0,0,0,26.4286885245902
1,0,0,0,0,1,0,0,37.648275862069
0,1,0,0,0,0,0,2,30.8472
1,0,0,1,0,1,0,1,36.5672
0,3,0,1,0,1,0,0,98.8842105263158
0,1,2,1,0,0,0,2,99.3814814814815
2,1,1,1,0,0,2,0,82.2944444444444
1,0,0,2,2,1,2,0,97.7532894736842
1,3,1,1,1,0,1,1,97.6921658986175
1,1,2,2,1,0,3,0,97.4072398190045
0,0,0,0,0,0,1,0,32.9777777777778
1,0,0,0,1,0,0,0,32.3943089430894
1,0,0,0,0,1,1,0,45.0551724137931
2,0,0,0,0,1,0,1,69.3483870967742
0,0,2,0,0,2,0,1,56.3062015503876
0,0,0,2,1,2,0,1,79.255223880597
0,2,0,0,3,0,2,0,93.9296703296703
2,0,3,0,0,2,0,1,84.1013698630137
2,1,1,1,2,1,1,0,98.1591623036649
