#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,0,0,0,0,1,0,29.76666667
0,1,0,0,0,0,0,1,27.51449275
1,0,0,1,1,0,0,0,56.22626728
1,0,0,0,0,1,2,0,44.35686275
0,0,1,1,0,1,1,1,54.60322581
0,0,0,0,1,1,0,4,32.38214286
0,1,0,2,0,0,2,2,76.90220264
1,3,0,0,3,1,0,0,98.13
1,2,1,1,3,0,1,0,97.96223278
1,3,0,1,1,3,0,1,98.8465798
0,0,0,0,0,0,1,0,28.86363636
0,0,0,1,0,0,0,1,27.51090047
0,0,1,1,0,0,1,0,51.81674419
0,2,0,0,0,1,0,1,53.66635514
0,0,1,1,1,2,0,0,76.91719457
0,0,2,0,0,2,1,1,54.4638009
1,0,1,1,1,1,0,2,81.27025862
0,3,0,0,1,3,1,0,97.84117647
1,0,2,1,0,1,0,4,80.96844262
1,0,1,1,2,1,2,2,98.77222222
0,1,0,0,0,0,0,0,25.95631068
0,0,0,0,0,2,0,0,50.3
2,0,0,0,0,0,0,1,57.004
1,1,0,0,0,1,0,1,34.41074766
1,0,0,0,1,1,1,1,35.68090909
1,1,1,1,0,1,0,1,80.87695652
1,1,1,1,0,0,2,1,80.57350427
2,1,1,1,1,0,1,1,98.91439689
2,0,2,1,0,2,1,1,83.1044898
0,3,3,0,2,0,2,0,99.68817204
0,0,0,1,0,0,0,0,25.97320574
0,0,1,0,0,0,1,0,27.47230047
0,1,0,0,1,0,1,0,51.80236967
0,0,0,0,1,2,1,0,30.85410628
1,0,0,2,0,1,0,1,58.10552995
0,1,0,1,0,1,2,1,54.87511312
2,1,1,0,1,0,0,2,82.14522822
1,0,1,0,2,1,1,2,82.14444444
2,0,1,2,2,1,1,0,98.2453125
0,3,0,0,1,2,2,2,98.49756098
1,0,0,0,0,0,0,0,26.91041667
0,0,0,1,1,0,0,0,50.57242991
0,0,0,2,0,0,1,0,52.15471698
0,0,2,0,0,1,1,0,53.47582938
0,1,0,2,1,1,0,0,96.56206897
0,0,1,1,2,1,0,1,98.30909091
0,0,2,2,0,0,1,2,98.46580087
2,1,0,1,2,2,0,0,98.546875
1,1,0,2,0,1,2,2,82.12808511
2,1,0,1,1,1,2,2,83.24103586
0,0,0,0,0,0,1,0,29.3
0,0,0,1,1,0,0,0,50.9
1,0,0,0,0,0,0,2,38.80816327
1,0,0,0,2,1,0,0,57.33196347
1,1,0,1,0,0,0,2,58.17828054
0,0,1,2,1,1,1,0,98.78209607
3,0,0,1,0,2,0,1,45.48201754
1,2,0,2,2,0,0,1,98.02027778
2,2,1,0,0,4,0,0,81.87520325
3,1,1,0,1,2,1,1,82.70416667
1,0,0,0,0,0,0,0,26.22040816
0,0,0,0,0,1,0,1,52.15
0,0,0,0,1,1,1,0,28.58826291
0,2,0,0,1,1,0,0,75.58251121
0,2,1,0,2,0,0,0,97.77394366
2,0,1,0,1,1,0,1,62.61637168
2,0,0,2,2,0,1,0,98.40588235
1,0,0,1,0,1,2,3,38.56651982
0,2,1,1,2,1,0,2,96.79722992
1,1,1,2,3,1,1,0,99.27589499
0,0,0,0,0,0,1,0,29.27272727
0,0,0,0,0,0,0,2,52.79166667
0,1,0,0,1,0,0,1,52.24694836
1,1,0,1,0,0,1,0,57.4516129
2,0,0,1,0,1,0,1,39.63009259
1,0,0,1,1,1,1,1,58.90542986
0,1,1,0,1,1,2,1,77.02290749
0,2,2,2,0,1,1,0,98.54405797
2,1,1,2,1,0,0,2,97.55669782
2,2,1,0,2,1,1,1,97.85368098
0,0,0,0,1,0,0,0,26.01184834
0,0,0,0,0,0,1,1,51.34615385
0,3,0,0,0,0,0,0,75.61238532
3,0,0,0,0,0,1,0,81.388
2,1,0,1,0,1,0,0,63.00502283
0,0,1,0,0,2,2,1,33.68812785
1,1,0,0,2,2,1,0,81.27807018
2,2,0,2,1,0,1,0,98.29522293
1,1,0,0,2,2,2,1,82.17617021
1,1,2,2,0,1,1,2,97.61214058
0,0,1,0,0,0,0,0,26.08942308
0,0,1,0,0,0,1,0,27.45687204
1,1,0,0,0,0,0,1,33.25302326
0,1,0,1,0,1,1,0,53.48551402
2,0,0,1,1,0,0,1,62.37040359
2,0,0,2,0,1,0,1,63.09009009
0,0,1,2,2,0,0,2,95.8966443
2,0,1,0,2,2,1,0,82.82716049
4,0,0,1,0,1,2,1,48.91902834
