#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,0,0,1,0,0,0,17.20714286
2,0,0,0,0,0,0,0,33.89791667
0,0,0,1,2,0,0,0,47.73419913
1,1,1,1,0,0,0,0,53.06860987
0,2,1,1,0,0,0,1,65.52114537
0,1,0,1,2,1,1,0,65.87136564
1,0,2,0,1,2,1,0,54.04561404
0,1,0,2,1,2,0,2,65.35512821
1,2,2,1,1,2,0,0,66.07709497
1,1,5,0,0,1,1,1,65.39728261
0,1,0,0,0,0,0,0,17.26796117
0,1,0,0,0,0,1,0,18.24691943
2,0,0,0,1,0,0,0,24.4706422
0,0,1,2,0,0,1,0,50.63607306
0,1,0,2,0,0,1,1,51.00958904
1,1,0,0,0,0,2,2,24.36574074
1,0,1,0,2,1,1,1,54.04521739
0,1,2,3,0,1,1,0,66.03517442
1,2,0,3,2,1,0,0,66.12716346
1,2,2,3,0,0,2,0,65.61900238
0,0,0,0,0,0,0,1,18.6
0,0,1,0,0,0,1,0,18.16666667
0,1,0,0,0,1,0,1,18.95260664
1,0,0,1,0,0,1,1,22.83915094
0,0,2,1,0,0,1,1,51.17828054
1,1,1,2,0,0,0,1,64.98477366
0,1,0,2,0,2,0,2,51.51982379
1,0,0,1,1,3,1,1,39.87850877
2,2,0,2,1,1,1,0,65.97955272
1,2,1,0,2,0,2,2,65.63516129
1,0,0,0,0,0,0,0,17.71956522
0,1,0,0,0,1,0,0,18.27559809
0,1,0,0,1,1,0,0,34.35885167
1,1,0,0,1,1,0,0,38.2182243
1,0,0,1,2,0,0,1,53.905
1,0,2,0,1,0,2,0,53.85669643
2,0,1,2,1,0,1,0,66.06064257
1,2,0,0,2,0,0,3,66.18065844
1,1,1,2,1,1,1,1,65.71633987
3,1,1,1,2,0,1,1,64.98828829
0,0,1,0,0,0,0,0,17.28516746
0,0,0,1,0,1,0,0,18.03286385
0,0,1,1,0,0,0,1,34.45633803
0,0,0,0,0,3,1,0,64.18461538
1,2,1,0,0,1,0,0,54.11090909
1,0,1,0,1,1,2,0,38.7472973
1,0,1,0,1,0,3,1,39.62787611
2,2,0,0,0,1,1,2,42.27575758
1,0,2,0,1,1,2,2,54.11610169
1,1,1,1,2,0,1,3,65.16032258
0,0,0,0,1,0,0,0,17.29146919
0,0,0,1,0,1,0,0,18.18190476
0,0,0,1,1,0,1,0,34.56350711
0,1,0,0,0,2,0,1,20.02403846
0,1,1,0,0,2,1,0,36.15
1,1,0,1,0,1,1,1,38.91111111
2,3,1,0,0,0,0,1,64.49384615
0,2,1,2,1,1,0,1,65.76936416
1,3,1,0,0,1,0,3,65.65
1,0,1,1,2,2,3,0,66.1216
0,0,0,0,1,0,0,0,17.28780488
0,1,0,0,1,0,0,0,33.6722488
2,0,0,0,0,1,0,0,37.87916667
1,1,0,1,0,0,1,0,38.25162791
1,2,0,0,1,0,0,1,53.68648649
1,0,0,1,0,0,1,3,24.0369863
1,1,3,1,0,1,0,0,65.49732441
1,0,0,3,1,1,2,0,65.41707317
2,0,0,4,2,0,1,0,65.71042781
1,1,1,1,1,1,1,3,66.16425703
0,0,0,0,0,1,0,0,19.42727273
0,0,0,0,0,1,0,1,34.425
1,1,0,0,0,0,0,1,21.85933014
0,0,1,1,0,1,1,0,35.48490566
1,0,0,1,1,2,0,0,38.24234234
0,0,2,0,1,2,1,0,51.55605381
2,1,1,1,0,0,0,2,54.57478992
0,0,1,3,3,0,1,0,66.33879093
0,1,3,0,3,1,1,0,65.55308642
0,2,1,2,0,2,1,2,63.67401316
0,0,0,0,0,1,0,0,19.64545455
0,1,0,0,0,1,0,0,17.9223301
0,1,1,0,0,1,0,0,34.38497653
0,2,1,0,0,0,1,0,51.0546729
1,1,0,1,2,0,0,0,65.81158798
0,2,1,1,1,0,1,0,65.9405694
0,0,3,0,0,0,3,1,51.45822222
1,0,2,0,1,2,2,0,54.15726496
0,2,1,2,0,1,1,2,65.91952055
2,1,1,1,0,0,1,4,55.30367347
0,0,0,0,0,0,0,1,19.54545455
0,1,0,1,0,0,0,0,33.01100917
0,0,1,0,0,0,0,2,19.02206573
0,0,0,0,2,0,1,1,35.40566038
1,0,0,0,1,2,1,0,23.35601852
0,2,0,1,2,0,1,0,65.19263158
1,0,0,1,0,1,3,1,25.22995392
1,1,0,1,0,3,1,1,39.49173913
2,1,0,1,1,1,3,0,54.65222672
