<<<<<<< HEAD
﻿#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,1,0,0,0,31.33333333
1,0,0,1,0,69.17142857
0,1,0,1,1,43.76666667
2,1,0,0,1,43.96666667
1,3,1,0,0,97.9
3,1,0,1,1,50.76756757
3,0,2,1,1,95.8725
2,2,1,1,2,96.221875
1,1,2,5,0,99.64594595
4,0,1,2,3,97.196
0,0,0,0,1,30.92258065
0,0,1,1,0,92.65925926
0,1,1,1,0,94.85555556
1,0,2,1,0,98.94166667
1,0,2,1,1,96.12987013
1,2,1,1,1,96.4509434
1,1,1,2,2,96.2453125
2,2,1,3,0,98.14324324
2,1,5,0,1,94.13986014
3,1,3,2,1,96.57522936
0,1,0,0,0,31.71666667
1,0,0,0,1,35.03939394
1,0,1,1,0,94.63703704
1,1,0,1,1,46.53529412
3,0,0,1,1,48.80555556
1,1,2,1,1,96.95
3,0,0,2,2,70.93255814
1,3,1,1,2,97.98125
2,2,2,1,2,97.95444444
2,2,3,3,0,98.43510638
0,0,0,0,1,30.80625
1,0,0,1,0,65.57142857
0,0,2,0,1,95.25068493
2,1,1,0,0,97.27777778
1,1,1,1,1,97.84
1,0,1,1,3,96.9
0,1,4,2,0,99.51794872
0,4,1,1,2,96.9859375
1,2,1,3,2,96.87941176
0,5,0,1,4,98.01346154
0,0,0,0,1,30.915625
1,0,0,1,0,71.38571429
0,0,1,0,2,96.34074074
0,1,0,2,1,48.47777778
3,1,0,0,1,45.04857143
1,3,1,1,0,97.16060606
0,3,0,4,0,97.43888889
3,2,1,2,0,98.44444444
3,2,0,4,0,98.9
3,2,3,1,1,95.9981982
0,0,0,1,0,52.46666667
1,0,0,1,0,68.72857143
1,0,0,1,1,41.92285714
1,1,0,0,2,63.55945946
2,0,0,2,1,51.18648649
0,1,1,3,1,96.72909091
2,1,1,1,2,98.99344262
3,2,1,1,1,98.36545455
2,3,2,1,1,95.54337349
1,3,5,1,0,99.44444444
0,0,1,0,0,85.4
1,0,1,0,0,89.96
2,0,0,1,0,86.1
1,0,1,1,1,99.102
2,1,1,0,1,96.782
2,0,3,0,1,96.273
3,1,1,1,1,97.74259259
1,1,5,0,1,94.92158273
2,3,1,0,3,96.80555556
3,2,0,3,2,75.60612245
0,0,0,1,0,52.73333333
0,1,0,0,1,34.77878788
0,1,0,0,2,59.65
1,0,3,0,0,98.65185185
1,0,2,0,2,96.6047619
1,2,0,2,1,55.02894737
3,1,2,0,1,96.72278481
0,4,1,2,1,98.56206897
5,2,0,1,1,55.69302326
2,3,2,2,1,95.42325581
0,1,0,0,0,32.08333333
1,0,0,1,0,68.3
1,1,0,0,1,38.72941176
2,0,0,1,1,46.15588235
1,0,0,3,1,54.32368421
1,1,2,1,1,95.96455696
1,1,2,2,1,94.67195122
2,1,1,1,3,96.51126761
4,3,0,1,1,56.32857143
1,2,3,2,2,97.74830508
0,0,0,0,1,30.778125
1,1,0,0,0,47.81428571
0,1,0,1,1,43.71176471
0,0,2,1,1,94.52763158
1,0,0,2,2,69.455
0,2,0,2,2,69.92142857
0,0,4,1,2,97.77209302
3,2,1,1,1,97.60727273
3,2,0,3,1,59.68444444
=======
﻿#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,cpu_usage
0,0,0,0,1,0,12.7173913
0,0,0,0,0,2,24.926
1,1,1,0,0,0,48.07936508
1,0,1,1,0,1,97.96491228
0,1,1,0,2,1,38.280625
1,1,0,2,1,1,71.62447917
1,1,0,2,0,3,82.7328125
1,3,2,1,0,1,79.96707317
1,2,2,2,0,2,80.30072993
1,1,2,2,0,4,86.03910256
0,1,0,0,0,0,12.59583333
0,0,2,0,0,0,96.89189189
0,0,3,0,0,0,97.571875
1,0,3,0,0,0,93.94842105
0,0,2,0,1,2,80.10454545
1,0,4,1,0,0,95.80691824
0,3,1,0,1,2,63.83354037
4,0,1,1,2,0,99.205
1,3,0,0,1,4,65.61895735
3,2,0,1,3,1,87.57861111
0,0,0,1,0,0,47.67241379
1,0,0,0,0,1,43.47761194
0,1,0,1,0,1,42.78446602
0,2,0,0,2,0,29.07857143
1,1,1,1,0,1,70.42130178
0,0,1,1,2,2,95.60194175
2,1,1,1,1,1,80.90517241
2,3,2,1,0,0,93.95045593
4,0,0,0,3,2,99.02638298
1,1,1,0,4,3,64.24769874
0,0,1,0,0,0,47.39545455
0,0,1,0,0,1,48.44897959
0,1,0,1,1,0,39.17837838
0,0,2,0,0,2,76.62948718
1,2,1,0,0,1,54.87868852
0,1,0,3,1,1,77.1715736
1,1,1,1,2,1,64.598
3,2,0,1,1,1,85.06552901
2,0,1,0,3,3,98.41411765
2,0,2,3,2,1,99.87889222
0,0,0,0,0,1,12.53265306
0,0,0,0,0,2,24.998
0,0,0,0,2,1,35.358
1,0,0,2,1,0,97.95430464
1,1,0,0,0,3,53.26311475
0,1,1,0,1,3,53.45373134
1,2,1,0,1,2,70.34244186
1,1,1,2,3,0,81.47663934
2,1,1,1,1,3,82.91614035
2,2,0,1,2,3,87.37918216
0,0,0,0,0,1,12.756
0,0,0,2,0,0,97.10208333
1,0,0,1,0,1,88.8025974
1,0,0,2,0,1,98.89126984
1,2,0,0,2,0,50.25886525
1,1,2,1,0,1,65.07566372
3,2,1,0,0,1,82.62254545
1,1,1,1,0,4,79.415
1,4,0,2,1,1,89.50811594
3,1,1,2,1,2,93.4526178
0,0,1,0,0,0,47.33181818
0,0,1,1,0,0,95.7952381
1,1,0,0,0,1,42.32631579
2,1,0,1,0,0,79.26041667
2,1,0,0,1,1,66.96774194
1,1,1,1,1,1,75.68905473
2,1,1,1,0,2,76.29345455
3,2,0,3,0,0,99.60150376
0,0,2,3,1,3,98.69179104
1,1,2,1,3,2,85.48930041
0,0,1,0,0,0,47.31818182
2,0,0,0,0,0,96.05957447
1,0,0,0,0,2,68.952
2,0,2,0,0,0,97.95151515
0,0,1,0,2,2,77.56212121
2,1,2,0,1,0,77.6372449
2,2,1,1,0,1,77.42703704
2,3,1,0,0,2,85.87511521
2,4,1,2,0,0,91.56974596
1,1,0,4,2,2,99.43716814
1,0,0,0,0,0,47.03214286
0,0,2,0,0,0,96.8
1,0,0,0,2,0,55.84920635
0,0,1,2,0,1,98.67982456
1,0,2,1,1,0,97.54328358
4,1,0,0,0,1,83.4454902
2,0,0,2,0,3,99.34568966
1,0,3,2,2,0,98.74166667
1,2,3,2,0,1,91.83020528
1,2,2,1,1,3,83.14980695
0,0,0,1,0,0,47.78965517
0,0,0,0,1,1,24.05
0,1,1,0,0,1,36.57979798
1,1,0,0,1,1,34.82883436
1,1,0,0,1,2,53.64033613
1,0,2,1,2,0,97.96965517
0,0,1,1,3,2,98.45641026
2,2,1,2,0,1,86.91322314
2,3,0,1,1,2,82.00224719
>>>>>>> 75bd5f89560bdf171f5c2aeb9a960f1a96d4be04
