#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,1,0,0,0,20.8
0,0,1,1,0,60.89259259
2,0,1,0,0,62.48
2,1,1,0,0,63.72962963
1,0,3,0,1,65.72653061
1,2,0,1,2,46.865
2,1,2,1,1,63.865
3,2,0,2,1,37.47560976
2,2,0,2,3,56.92857143
2,0,4,3,1,64.775
1,0,0,0,0,22.52
0,0,0,1,1,26.60606061
1,2,0,0,0,44.92857143
1,0,1,0,2,63.01754386
4,0,1,0,0,64.575
1,4,0,1,0,62.725
1,1,2,1,2,65.07816092
1,1,3,2,1,64.54571429
1,3,2,1,2,65.07888889
2,1,2,5,0,66.16842105
0,0,0,1,0,34.76666667
1,0,0,1,0,44.9
1,0,0,1,1,29.2969697
3,1,0,0,0,56.08571429
1,0,0,1,3,56.61463415
0,4,0,0,2,45.42564103
0,2,1,3,1,64.32807018
1,2,2,1,2,65.25617978
2,1,2,4,0,66.11408451
2,5,2,1,0,65.76764706
0,0,0,1,0,35.7
0,1,1,0,0,58.73076923
0,0,0,1,2,42.70833333
2,0,2,0,0,65.69152542
2,1,1,0,1,65.9375
1,2,1,0,2,64.63166667
0,1,5,0,1,63.34044118
3,4,0,0,1,34.4175
2,2,0,3,2,49.78723404
4,2,2,2,0,65.36027397
0,0,1,0,0,57.75833333
0,0,0,2,0,49.45555556
0,1,0,1,1,28.25
1,1,0,0,2,42.11944444
1,2,1,1,0,65.47
1,0,2,0,3,65.05842697
4,1,1,0,1,64.96923077
1,2,2,0,3,64.74361702
3,1,1,2,2,64.89393939
1,2,3,2,2,65.71565217
1,0,0,0,0,21.42
1,0,0,1,0,41.67142857
2,0,0,1,0,57.5
2,0,0,1,1,30.66176471
2,0,0,2,1,33.59722222
2,0,2,1,1,64.56753247
1,2,0,3,1,36.62142857
0,0,2,4,2,64.53736264
3,2,1,2,1,65.55614035
3,4,2,0,1,62.91785714
1,0,0,0,0,21.14
0,0,0,2,0,48.55555556
0,1,1,0,1,64.31276596
0,0,1,2,1,66.06530612
0,0,2,2,1,64.69342105
2,0,0,1,3,55.11627907
2,0,3,1,1,63.93203883
2,2,1,3,0,64.68378378
1,1,1,3,3,65.11917808
2,2,1,3,2,65.85
0,0,0,1,0,33.86666667
0,0,1,1,0,60.41111111
0,0,2,1,0,65.17586207
1,0,1,2,0,65.84827586
0,2,1,0,2,65.03214286
2,2,0,0,2,44.98717949
0,1,3,2,1,64.77596154
4,1,1,1,1,64.65636364
4,0,3,1,1,64.45283019
2,1,2,2,3,65.65257732
0,1,0,0,0,19.96666667
1,0,1,0,0,60.568
0,0,1,0,2,62.82181818
0,2,1,0,1,65.55319149
1,1,0,1,2,44.11
3,0,2,1,0,66.159375
1,4,1,1,0,66.18787879
3,0,3,2,0,65.89784946
2,1,3,2,1,64.18611111
3,1,3,1,2,65.39913043
0,0,1,0,0,57.70416667
1,1,0,0,0,35.3
0,0,2,1,0,65.58983051
0,1,0,1,2,43.72432432
1,1,2,0,1,64.29594595
1,2,2,0,1,65.47236842
3,2,1,1,0,64.96363636
2,5,1,0,0,64.91515152
1,3,1,3,1,65.82711864
