#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,0,0,1,36.88378378
0,1,0,0,1,50.4
0,1,0,0,2,70.51489362
0,2,1,1,0,77.26666667
0,0,0,1,4,86.5
2,0,2,0,2,82.28510638
2,1,1,1,2,88.82758621
2,1,0,2,3,94.16533333
2,3,2,1,1,91.09152542
2,0,1,3,4,97.73225806
0,0,1,0,0,43.675
0,0,2,0,0,71.625
2,0,1,0,0,52.37692308
0,1,0,1,2,79.86607143
0,0,2,2,1,88.19642857
0,0,3,1,2,93.10833333
1,2,0,2,2,93.79852941
0,0,3,1,4,96.09268293
1,0,2,3,3,98.05617978
1,2,2,3,2,96.4
0,0,0,0,1,36.41315789
0,0,0,1,1,60.99347826
0,1,2,0,0,84.055
2,1,1,0,0,76.29375
1,1,2,0,1,76.6
1,2,1,2,0,89.23958333
3,0,0,1,3,82.83076923
4,1,1,1,1,83.45319149
2,1,0,1,5,97.03975904
1,3,4,1,1,93.55205479
0,0,0,1,0,36.83157895
0,0,2,0,0,70.9875
0,0,0,1,2,71.49807692
1,0,0,0,3,72.34259259
0,1,1,2,1,89.11818182
1,1,0,0,4,88.98307692
1,1,1,2,2,93.21492537
2,1,1,3,1,92.85217391
0,3,3,3,0,93.48961039
2,1,4,2,1,92.80416667
0,1,0,0,0,42.99230769
0,0,0,0,2,61.01521739
0,2,1,0,0,87.78421053
1,1,1,1,0,65.06410256
0,0,1,2,2,88.334375
2,1,0,2,1,82.73035714
2,0,2,1,2,90.72631579
0,1,3,2,2,96.17848101
2,1,1,1,4,97.42
3,1,4,1,1,89.65396825
0,0,0,1,0,36.96052632
0,0,0,1,1,62.47755102
1,0,2,0,0,75.98235294
0,1,1,2,0,82.48269231
1,1,2,1,0,78
0,0,1,3,2,94.3617284
3,0,1,1,2,86.81803279
0,0,2,2,4,97.35714286
2,1,2,2,2,96.8225
3,1,2,2,2,96.62873563
0,0,0,0,1,37.37692308
1,1,0,0,0,48.41538462
0,1,0,0,2,72.90588235
2,2,0,0,0,80.68125
1,2,0,0,2,84.64509804
2,0,1,1,2,84.2
1,2,1,0,3,94.1
4,0,1,1,2,86.36666667
2,2,2,2,1,95.61111111
3,1,0,1,5,97.66630435
1,0,0,0,0,15.6
0,0,0,2,0,62.20204082
1,0,1,1,0,54.5275
1,0,1,0,2,74.404
1,1,1,1,1,83.40192308
0,2,1,1,2,93.16769231
1,2,2,0,2,90.89666667
2,4,0,1,1,93.0557377
1,3,1,3,1,96.01860465
1,0,3,4,2,97.67884615
0,0,1,0,0,44.24285714
0,0,2,0,0,69.31111111
2,0,1,0,0,54.58461538
0,0,2,0,2,83.06730769
0,3,2,0,0,91.84857143
0,2,2,0,2,91.19508197
2,1,2,2,0,90.43793103
0,3,1,3,1,97.11395349
3,2,1,2,1,95.04305556
3,1,2,1,3,96.19512195
0,0,0,0,1,46.92222222
0,1,0,0,1,51.185
0,0,0,0,3,74.33809524
1,0,2,0,1,70.54883721
0,1,0,3,1,90.43947368
2,2,0,2,0,88.63508772
2,1,0,3,1,91.93116883
3,4,0,1,0,89.58392857
3,1,1,3,1,96.09473684
