#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
1,0,0,0,0,0,0,0,26
0,1,0,0,0,0,0,1,51.67391304
1,0,0,0,1,1,0,0,75.02134831
1,1,0,0,2,0,0,0,81.47916667
1,1,1,1,0,1,0,0,68.90657895
0,2,1,1,2,0,0,0,89.0547619
4,1,1,0,0,1,0,0,69.61012658
1,1,1,1,0,2,2,0,98.79159292
0,1,2,0,2,2,1,1,98.65532787
0,1,0,0,5,0,1,3,99.0898917
0,0,0,0,0,1,0,0,39.80877193
1,1,0,0,0,0,0,0,76.32777778
0,0,1,0,0,0,0,2,74.08958333
1,0,0,0,1,0,0,2,75.1984127
1,1,1,0,0,1,0,1,73.92658228
1,1,2,0,0,0,2,0,89.11454545
0,1,1,1,2,1,1,0,99.5536036
2,2,1,0,0,1,0,2,86.95
3,1,0,2,0,1,0,2,83.83043478
1,2,3,0,2,2,0,0,99.60433071
0,1,0,0,0,0,0,0,68.35625
0,1,1,0,0,0,0,0,86.176
0,0,1,0,0,2,0,0,86.86142857
1,0,1,1,0,0,0,1,61.16470588
2,0,0,2,0,1,0,0,56.3
1,0,0,1,1,2,1,0,98.85961538
0,1,3,0,0,0,2,1,93.74640884
0,1,3,1,2,1,0,0,94.8504902
2,2,1,1,0,0,3,0,94.640625
1,1,1,3,2,0,0,2,96.95534591
0,0,0,0,1,0,0,0,39.63508772
0,1,0,0,0,0,0,1,52.16666667
0,0,1,0,0,0,1,1,68.62307692
1,1,1,0,0,0,0,1,66.37272727
0,0,0,2,0,0,3,0,93.45654762
1,0,1,0,2,0,2,0,98.96208531
0,1,1,1,0,1,2,1,98.43891892
1,1,3,0,2,0,0,1,92.3242236
0,1,2,0,0,1,5,0,99.44269231
3,0,1,0,2,2,1,1,99.35851528
0,0,1,0,0,0,0,0,67.1375
1,0,0,0,1,0,0,0,42.67894737
1,1,0,0,0,0,0,1,56.19782609
0,1,0,2,0,0,1,0,62.37714286
2,0,1,1,0,0,1,0,64.40147059
0,3,1,1,0,0,0,1,79.76363636
0,1,1,2,1,0,0,2,86.11630435
0,1,1,3,1,1,0,1,92.94797688
2,0,1,1,1,1,1,2,97.55944444
1,4,2,1,1,1,0,0,91.27623762
1,0,0,0,0,0,0,0,24.56363636
0,0,0,1,0,0,0,1,40.93255814
1,0,0,0,0,1,1,0,73.98045977
0,1,0,1,0,1,1,0,88.58013699
0,0,1,2,0,0,1,1,72.7025974
0,2,0,1,1,0,1,1,92.31385542
1,1,0,2,1,1,0,1,92.80434783
1,0,3,3,0,0,0,1,78.57901235
1,2,1,2,2,1,0,0,94.9255102
0,1,1,3,0,3,0,2,98.82745098
0,0,0,0,0,0,0,1,31.9675
0,0,1,0,0,0,1,0,52.8483871
1,0,0,0,1,0,1,0,83.3080292
2,1,0,1,0,0,0,0,91.74583333
2,0,0,2,0,1,0,0,56.06470588
2,1,0,0,1,0,0,2,82.16052632
4,0,0,0,0,0,3,0,92.71146497
1,1,2,1,1,1,0,1,93.77784091
3,0,1,2,1,0,2,0,94.42108108
0,1,0,1,2,1,2,3,98.88795181
0,1,0,0,0,0,0,0,67.9125
0,0,1,0,1,0,0,0,52.57258065
0,0,1,0,1,0,1,0,86.84928571
1,0,0,0,1,1,1,0,91.80457516
1,2,1,0,0,1,0,0,69.74878049
1,0,1,0,2,1,0,1,98.19776536
0,1,1,1,2,1,1,0,98.91596244
0,1,1,1,2,1,0,2,98.07263682
0,1,2,0,2,3,1,0,99.20568182
3,0,1,0,1,2,3,0,99.1250996
0,0,1,0,0,0,0,0,66.35625
0,0,1,0,0,0,1,0,53.43387097
2,0,0,0,0,0,1,0,46.71896552
0,0,0,0,2,0,2,0,99.27959184
0,0,0,0,1,1,2,1,98.84307692
1,2,0,1,0,0,0,2,79.92352941
0,1,3,0,0,2,1,0,94.86578947
1,1,0,1,0,0,3,2,97.80456853
0,1,4,0,3,0,1,0,99.63438735
0,1,1,2,0,4,0,2,99.38537549
0,0,0,0,0,0,1,0,39.29464286
0,0,1,1,0,0,0,0,80.575
0,1,1,0,0,0,0,1,65.60576923
0,0,0,0,1,1,1,1,97.51066667
2,1,0,0,2,0,0,0,88.6462585
0,1,0,0,1,2,2,0,98.94150943
0,1,1,1,2,0,0,2,96.0754386
1,0,3,1,1,1,1,0,94.7751269
2,0,4,1,0,1,1,0,90.27417582
