#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
1,0,0,0,0,0,0,0,17.07272727
0,0,0,1,0,0,0,1,30.4
1,0,1,0,0,0,1,0,42.41612903
1,1,0,0,2,0,0,0,79.9141844
0,0,1,2,0,1,1,0,81.97605634
0,0,1,0,1,1,1,2,94.036
1,1,0,2,2,0,0,1,87.23819444
0,0,0,0,1,0,4,3,99.21569507
1,0,1,1,3,1,1,1,99.26255924
2,3,0,0,3,0,0,2,94.27853403
0,1,0,0,0,0,0,0,45.75333333
0,0,0,1,0,0,1,0,36.54576271
1,2,0,0,0,0,0,0,78.2
1,0,0,1,2,0,0,0,77.6780303
0,0,0,0,2,2,0,1,94.51715686
1,0,0,1,0,0,1,3,71.30735294
1,0,0,0,0,1,4,1,98.84663212
2,1,2,0,0,1,2,0,89.80409357
2,1,1,2,2,0,1,0,90.39611111
1,0,1,2,1,1,2,2,98.24866071
0,0,0,0,0,0,0,1,24.25365854
1,0,0,0,1,0,0,0,34.24333333
0,1,0,1,0,1,0,0,45.63064516
1,1,0,0,1,0,1,0,78.37109375
0,1,1,0,0,1,2,0,89.85529412
0,2,1,1,1,1,0,0,85.59370629
0,1,2,2,1,0,0,1,70.59873418
3,0,1,0,1,1,1,1,92.84375
1,2,1,1,2,1,1,0,95.68311688
0,1,4,4,0,1,0,0,74.86413043
1,0,0,0,0,0,0,0,16.64545455
1,0,0,0,0,0,0,1,26.5627907
0,0,0,3,0,0,0,0,68.91875
1,1,1,0,0,0,1,0,51.87538462
0,0,1,0,2,1,1,0,93.33609756
1,2,0,1,0,0,1,1,65.49014085
0,1,1,2,0,1,2,0,90.65028571
0,1,1,1,3,1,1,0,97.13236715
0,0,0,2,2,3,2,0,99.26113208
1,1,2,1,1,2,1,1,96.53632479
0,0,0,1,0,0,0,0,32.34166667
0,0,0,1,0,1,0,0,36.5852459
1,0,1,1,0,0,0,0,68.84444444
0,0,0,1,0,2,0,1,82.495
0,0,0,2,1,1,0,1,83.22248062
2,1,1,2,0,0,0,0,94.83703704
1,2,0,2,0,2,0,0,84.51710526
2,2,1,1,0,1,0,1,72.72025316
3,0,3,2,0,0,0,1,72.32903226
1,3,1,2,1,1,0,1,89.99705882
0,1,0,0,0,0,0,0,45.94
1,0,0,0,0,1,0,0,34.69655172
1,0,0,0,1,1,0,0,76.58776978
1,1,0,2,0,0,0,0,78.21904762
1,1,0,0,2,0,1,0,87.55521472
2,0,1,1,0,1,0,1,59.86911765
0,1,0,0,4,1,1,0,99.60372093
2,1,0,0,1,2,1,1,96.27272727
1,0,1,0,0,1,0,6,88.43191489
2,1,2,0,2,0,2,1,96.88552632
0,1,0,0,0,0,0,0,44.9
0,1,0,0,1,0,0,0,40.31147541
0,1,0,0,0,0,2,0,80.29503546
0,1,0,0,1,1,1,0,87.57055215
1,1,0,0,0,1,0,2,65.34264706
1,1,0,1,0,0,2,1,85.91785714
1,1,0,1,2,0,2,0,94.82378641
0,1,1,3,1,0,0,2,73.25952381
1,2,0,3,3,0,0,0,91.45567568
1,1,1,0,4,2,1,0,99.29702602
0,0,0,0,0,0,1,0,31.80677966
1,0,0,0,0,0,0,1,26.69767442
0,0,0,2,1,0,0,0,40.91774194
0,0,1,2,0,0,0,1,47.82291667
2,1,0,1,0,0,0,1,49.14489796
2,0,2,2,0,0,0,0,94.00740741
1,0,4,0,1,0,0,1,71.3875
0,1,2,3,1,0,0,1,74.475
1,3,1,0,2,0,1,1,94.64021164
1,1,1,1,1,1,2,2,98.35982906
0,0,1,0,0,0,0,0,42.025
0,1,0,1,0,0,0,0,61.42941176
0,0,0,0,1,1,0,1,80.92898551
2,0,0,0,1,1,0,0,77.35294118
1,0,1,1,1,0,0,1,58.54776119
1,1,0,0,3,1,0,0,94.17380952
0,2,2,0,0,1,1,1,90.38
0,2,0,0,2,4,0,0,99.16767241
1,0,2,0,1,2,1,2,98.32034632
2,1,1,1,2,1,2,0,96.95167464
0,0,0,0,0,0,0,1,23.9952381
0,0,0,1,1,0,0,0,35.63606557
1,0,0,0,0,1,0,1,45.53548387
0,1,0,1,1,0,0,1,56.27846154
1,0,0,2,1,0,1,0,79.88785714
1,1,1,1,2,0,0,0,83.56849315
0,2,1,2,0,0,1,1,71.11898734
0,2,2,0,1,1,2,0,94.82290749
2,1,1,2,1,1,0,1,88.54267516
